1,43
1,24
1,37
1,18
1,3
1,42
2,41
2,48
2,22
2,26
2,20
2,40
2,5
3,48
3,14
3,49
3,2
3,18
4,41
4,27
4,23
4,8
4,18
4,2
4,19
4,20
5,46
5,17
5,41
5,10
5,47
5,25
6,39
6,48
6,29
7,49
7,19
7,50
7,12
7,39
7,27
7,42
7,34
8,29
8,8
8,42
8,26
9,19
9,28
9,47
9,34
9,5
9,32
9,3
9,4
10,25
10,46
10,45
10,19
10,5
10,7
10,17
10,9
11,50
11,3
11,37
11,14
11,45
11,25
11,2
11,22
11,46
12,31
12,11
12,21
12,23
12,19
13,25
13,9
13,47
13,18
13,7
13,40
13,33
13,30
13,8
14,17
14,11
14,21
14,20
14,7
14,6
14,39
14,2
14,45
15,3
15,31
15,4
15,14
15,20
16,48
16,34
16,22
16,49
17,13
17,15
17,22
17,32
17,29
17,24
17,30
18,4
18,35
18,36
18,5
18,28
18,26
18,21
19,42
19,24
19,7
19,16
19,45
19,11
19,17
20,47
20,19
20,8
20,9
20,46
21,13
21,35
21,15
21,1
22,29
22,41
22,25
22,31
23,39
23,50
23,28
23,4
23,18
23,29
23,20
24,46
24,14
24,42
24,5
24,44
24,2
24,9
24,49
25,6
25,18
25,8
25,37
25,9
25,4
25,26
26,47
26,18
26,8
26,3
26,36
26,16
26,30
26,22
26,29
27,33
27,37
27,35
27,10
27,18
27,14
27,17
28,29
28,24
28,50
28,19
28,43
28,7
28,2
29,8
29,6
29,7
29,43
29,9
29,41
29,23
30,42
30,2
30,29
31,2
31,19
31,50
31,22
31,47
31,49
31,32
32,21
32,20
32,3
32,41
32,49
32,24
32,22
32,39
33,10
33,29
33,5
33,47
33,46
33,11
34,31
34,49
34,11
34,19
34,27
35,29
35,4
35,39
35,47
35,41
35,27
35,6
36,21
36,11
36,35
37,24
37,14
37,19
37,39
37,4
37,44
37,13
37,34
37,11
38,9
38,50
38,11
38,19
38,1
39,25
39,47
39,19
39,29
39,3
39,32
39,46
40,21
40,24
40,5
41,14
41,43
41,31
41,5
41,25
42,42
42,35
42,38
42,33
42,27
42,41
43,25
43,31
43,1
43,46
43,6
43,35
44,16
44,14
44,47
44,8
44,15
45,30
45,49
45,35
45,42
45,43
45,44
45,25
45,20
45,9
46,9
46,37
46,10
47,36
47,27
47,8
47,29
47,46
47,25
47,15
47,45
48,2
48,21
48,3
48,14
48,31
48,37
48,45
49,25
49,44
49,19
49,33
50,21
50,46
50,35
50,5
